Event	ID	Name			Wwise Object Path	Notes
	830213708	player_foley_hit			\PlayerCharacterEvents\Foley\player_foley_hit	
	954324369	player_foley_footstepEvent			\PlayerCharacterEvents\Foley\player_foley_footstepEvent	
	1627434233	player_pickup			\PlayerCharacterEvents\player_pickup	
	1643920063	player_foley_dashEvent			\PlayerCharacterEvents\Foley\player_foley_dashEvent	
	2390168611	player_foley_attackEvent			\PlayerCharacterEvents\Foley\player_foley_attackEvent	
	3187150534	player_foley_killed			\PlayerCharacterEvents\Foley\player_foley_killed	

In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	21209393	player_footsteps_layer2_05	Y:\Dropbox\DADIU\Bugsplat\BugSplat_WwiseProject\.cache\Android\SFX\player_footsteps_layer2_05_8EDF57DD.wem		\Actor-Mixer Hierarchy\Player\player_foley_mastermix\Playe_footstep_mix\player_footsteps_layer2\player_footsteps_layer2_05		5707
	74388081	player_footsteps_layer1_04	Y:\Dropbox\DADIU\Bugsplat\BugSplat_WwiseProject\.cache\Android\SFX\player_footsteps_layer1_04_8EDF57DD.wem		\Actor-Mixer Hierarchy\Player\player_foley_mastermix\Playe_footstep_mix\player_footsteps_layer1\player_footsteps_layer1_04		10400
	86083034	pickup_flop_05	Y:\Dropbox\DADIU\Bugsplat\BugSplat_WwiseProject\.cache\Android\SFX\pickup_flop_05_8EDF57DD.wem		\Actor-Mixer Hierarchy\Player\pickup\pickup_flop\pickup_flop_05		3426
	115522779	Human, Male, Scream, Pain 4 SND23409	Y:\Dropbox\DADIU\Bugsplat\BugSplat_WwiseProject\.cache\Android\SFX\Human, Male, Scream, Pain 4 SND23409_8EDF57DD.wem		\Actor-Mixer Hierarchy\Player\Vocalizations\playerDeath\Human, Male, Scream, Pain 4 SND23409		78959
	141951328	pickup_flop_03	Y:\Dropbox\DADIU\Bugsplat\BugSplat_WwiseProject\.cache\Android\SFX\pickup_flop_03_8EDF57DD.wem		\Actor-Mixer Hierarchy\Player\pickup\pickup_flop\pickup_flop_03		3889
	169910416	player_attack_swing_01	Y:\Dropbox\DADIU\Bugsplat\BugSplat_WwiseProject\.cache\Android\SFX\player_attack_swing_01_8EDF57DD.wem		\Actor-Mixer Hierarchy\Player\player_foley_mastermix\player_attack_limiter\player_attack_mix\player_attack_swing\player_attack_swing_01		5388
	174019984	player_footsteps_layer1_01	Y:\Dropbox\DADIU\Bugsplat\BugSplat_WwiseProject\.cache\Android\SFX\player_footsteps_layer1_01_8EDF57DD.wem		\Actor-Mixer Hierarchy\Player\player_foley_mastermix\Playe_footstep_mix\player_footsteps_layer1\player_footsteps_layer1_01		9386
	194834046	pickup_flop_10	Y:\Dropbox\DADIU\Bugsplat\BugSplat_WwiseProject\.cache\Android\SFX\pickup_flop_10_8EDF57DD.wem		\Actor-Mixer Hierarchy\Player\pickup\pickup_flop\pickup_flop_10		3620
	216994291	player_footsteps_layer2_03	Y:\Dropbox\DADIU\Bugsplat\BugSplat_WwiseProject\.cache\Android\SFX\player_footsteps_layer2_03_8EDF57DD.wem		\Actor-Mixer Hierarchy\Player\player_foley_mastermix\Playe_footstep_mix\player_footsteps_layer2\player_footsteps_layer2_03		7376
	280314429	pickup_sheperdclaves_10	Y:\Dropbox\DADIU\Bugsplat\BugSplat_WwiseProject\.cache\Android\SFX\pickup_sheperdclaves_10_8EDF57DD.wem		\Actor-Mixer Hierarchy\Player\pickup\pickup_sheperdstone\pickup_sheperdclaves_10		5993
	294329244	pickup_flop_04	Y:\Dropbox\DADIU\Bugsplat\BugSplat_WwiseProject\.cache\Android\SFX\pickup_flop_04_8EDF57DD.wem		\Actor-Mixer Hierarchy\Player\pickup\pickup_flop\pickup_flop_04		3650
	345840530	pickup_sheperdclaves_09	Y:\Dropbox\DADIU\Bugsplat\BugSplat_WwiseProject\.cache\Android\SFX\pickup_sheperdclaves_09_8EDF57DD.wem		\Actor-Mixer Hierarchy\Player\pickup\pickup_sheperdstone\pickup_sheperdclaves_09		6370
	372828274	pickup_gore_08	Y:\Dropbox\DADIU\Bugsplat\BugSplat_WwiseProject\.cache\Android\SFX\pickup_gore_08_8EDF57DD.wem		\Actor-Mixer Hierarchy\Player\pickup\pickup_gore\pickup_gore_08		8492
	403040303	player_footsteps_layer1_06	Y:\Dropbox\DADIU\Bugsplat\BugSplat_WwiseProject\.cache\Android\SFX\player_footsteps_layer1_06_8EDF57DD.wem		\Actor-Mixer Hierarchy\Player\player_foley_mastermix\Playe_footstep_mix\player_footsteps_layer1\player_footsteps_layer1_06		9430
