Event	ID	Name			Wwise Object Path	Notes
	27167321	slidingDoor			\PlayerCharacterEvents\misc\slidingDoor	
	680725036	egg			\PlayerCharacterEvents\misc\egg	
	830213708	player_foley_hit			\PlayerCharacterEvents\Foley\player_foley_hit	
	954324369	player_foley_footstepEvent			\PlayerCharacterEvents\Foley\player_foley_footstepEvent	
	1157062745	player_radical_ranged			\PlayerCharacterEvents\Foley\player_radical_ranged	
	1627434233	player_pickup			\PlayerCharacterEvents\player_pickup	
	1643920063	player_foley_dashEvent			\PlayerCharacterEvents\Foley\player_foley_dashEvent	
	2390168611	player_foley_attackEvent			\PlayerCharacterEvents\Foley\player_foley_attackEvent	
	3143993207	player_radical_trails			\PlayerCharacterEvents\Foley\player_radical_trails	
	3187150534	player_foley_killed			\PlayerCharacterEvents\Foley\player_foley_killed	

Game Parameter	ID	Name			Wwise Object Path	Notes
	3652467876	player_rangedBool_RTCP			\Default Work Unit\PlayerCharacter\player_rangedBool_RTCP	

In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	21209393	player_footsteps_layer2_05	Y:\Dropbox\DADIU\Bugsplat\BugSplat_WwiseProject\.cache\Windows\SFX\player_footsteps_layer2_05_8EDF57DD.wem		\Actor-Mixer Hierarchy\Player\player_foley_mastermix\Playe_footstep_mix\player_footsteps_layer2\player_footsteps_layer2_05		5707
	74388081	player_footsteps_layer1_04	Y:\Dropbox\DADIU\Bugsplat\BugSplat_WwiseProject\.cache\Windows\SFX\player_footsteps_layer1_04_8EDF57DD.wem		\Actor-Mixer Hierarchy\Player\player_foley_mastermix\Playe_footstep_mix\player_footsteps_layer1\player_footsteps_layer1_04		10400
	75560061	player_dash_whoosh_02	Y:\Dropbox\DADIU\Bugsplat\BugSplat_WwiseProject\.cache\Windows\SFX\player_dash_whoosh_02_8EDF57DD.wem		\Actor-Mixer Hierarchy\Player\player_foley_mastermix\player_dash_mix\dash_whoosh\player_dash_whoosh_02		9958
	81536668	egg_crack_02	Y:\Dropbox\DADIU\Bugsplat\BugSplat_WwiseProject\.cache\Windows\SFX\egg_crack_02_8EDF57DD.wem		\Actor-Mixer Hierarchy\Traps+Props\egg_mastermix\egg_crack\egg_crack_02		11965
	86083034	pickup_flop_05	Y:\Dropbox\DADIU\Bugsplat\BugSplat_WwiseProject\.cache\Windows\SFX\pickup_flop_05_8EDF57DD.wem		\Actor-Mixer Hierarchy\Player\pickup\pickup_flop\pickup_flop_05		3426
	131482935	fodder_hit_punch_04	Y:\Dropbox\DADIU\Bugsplat\BugSplat_WwiseProject\.cache\Windows\SFX\fodder_hit_punch_04_8EDF57DD.wem		\Actor-Mixer Hierarchy\Enemies\Fodder\fodder_mastermix\fodder_hit_limiter\fodder_hit_mix\fodder_hit_punch\fodder_hit_punch_04		3167
	141951328	pickup_flop_03	Y:\Dropbox\DADIU\Bugsplat\BugSplat_WwiseProject\.cache\Windows\SFX\pickup_flop_03_8EDF57DD.wem		\Actor-Mixer Hierarchy\Player\pickup\pickup_flop\pickup_flop_03		3889
	169910416	player_attack_swing_01	Y:\Dropbox\DADIU\Bugsplat\BugSplat_WwiseProject\.cache\Windows\SFX\player_attack_swing_01_8EDF57DD.wem		\Actor-Mixer Hierarchy\Player\player_foley_mastermix\player_attack_limiter\player_attack_mix\player_attack_swing\player_attack_swing_01		5388
	174019984	player_footsteps_layer1_01	Y:\Dropbox\DADIU\Bugsplat\BugSplat_WwiseProject\.cache\Windows\SFX\player_footsteps_layer1_01_8EDF57DD.wem		\Actor-Mixer Hierarchy\Player\player_foley_mastermix\Playe_footstep_mix\player_footsteps_layer1\player_footsteps_layer1_01		9386
	186607390	PlayerDead_test_03	Y:\Dropbox\DADIU\Bugsplat\BugSplat_WwiseProject\.cache\Windows\SFX\PlayerDead_test_03_8EDF57DD.wem		\Actor-Mixer Hierarchy\Player\Vocalizations\playerDeath\PlayerDeathTest\PlayerDead_test_03		21224
