Event	ID	Name			Wwise Object Path	Notes
	154430615	shop_insufficientFunds			\ShopEvents\ShopInteraction\shop_insufficientFunds	
	1339011789	shop_inspectItem			\ShopEvents\ShopInteraction\shop_inspectItem	
	2486007151	shop_putDown			\ShopEvents\ShopInteraction\shop_putDown	
	3126464902	amb_shop_mainEvent			\ShopEvents\ShopAmbience\amb_shop_mainEvent	
	3988221669	shop_purchase			\ShopEvents\ShopInteraction\shop_purchase	

Source plug-ins	ID	Name	Type		Wwise Object Path	Notes
	57560052	Wwise Silence	Wwise Silence		\Actor-Mixer Hierarchy\Ambience\amb_shop_mastermix\amb_shop_source_drip\silence_03\Wwise Silence	
	433319810	Wwise Silence	Wwise Silence		\Actor-Mixer Hierarchy\Ambience\amb_shop_mastermix\amb_shop_source_drip\silence\Wwise Silence	
	902018166	Wwise Silence	Wwise Silence		\Actor-Mixer Hierarchy\Ambience\amb_shop_mastermix\amb_shop_source_drip\silence_02\Wwise Silence	
	1030424026	Wwise Silence	Wwise Silence		\Actor-Mixer Hierarchy\Ambience\amb_shop_mastermix\amb_shop_source_drip\silence_01\Wwise Silence	

In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	7418491	amb_shop_01	Y:\Dropbox\DADIU\Bugsplat\BugSplat_WwiseProject\.cache\Windows\SFX\amb_shop_01_ADF7B7FB.wem		\Actor-Mixer Hierarchy\Ambience\amb_shop_mastermix\amb_shop_01		173168
	92687332	shop_putDownPlate_01	Y:\Dropbox\DADIU\Bugsplat\BugSplat_WwiseProject\.cache\Windows\SFX\shop_putDownPlate_01_8EDF57DD.wem		\Actor-Mixer Hierarchy\Shop\shop_interactions_mastermix\shop_putDownPlate\shop_putDownPlate\shop_putDownPlate_01		4955
	99765881	ambsource_drip_05	Y:\Dropbox\DADIU\Bugsplat\BugSplat_WwiseProject\.cache\Windows\SFX\ambsource_drip_05_8EDF57DD.wem		\Actor-Mixer Hierarchy\Ambience\amb_shop_mastermix\amb_shop_source_drip\ambsource_drip_05		10184
	211526328	shop_purchase_03	Y:\Dropbox\DADIU\Bugsplat\BugSplat_WwiseProject\.cache\Windows\SFX\shop_purchase_03_8EDF57DD.wem		\Actor-Mixer Hierarchy\Shop\shop_interactions_mastermix\shop_purchase_sting\shop_purchase_sting\shop_purchase_03		59383
	261162090	shop_inspect_plate_03	Y:\Dropbox\DADIU\Bugsplat\BugSplat_WwiseProject\.cache\Windows\SFX\shop_inspect_plate_03_8EDF57DD.wem		\Actor-Mixer Hierarchy\Shop\shop_interactions_mastermix\shop_inspectPlate\shop_inspectPlate\shop_inspect_plate_03		6232
	270570416	shop_putDownPlate_02	Y:\Dropbox\DADIU\Bugsplat\BugSplat_WwiseProject\.cache\Windows\SFX\shop_putDownPlate_02_8EDF57DD.wem		\Actor-Mixer Hierarchy\Shop\shop_interactions_mastermix\shop_putDownPlate\shop_putDownPlate\shop_putDownPlate_02		5160
	323491498	shop_purchase_01	Y:\Dropbox\DADIU\Bugsplat\BugSplat_WwiseProject\.cache\Windows\SFX\shop_purchase_01_8EDF57DD.wem		\Actor-Mixer Hierarchy\Shop\shop_interactions_mastermix\shop_purchase_sting\shop_purchase_sting\shop_purchase_01		54525
	388926070	shop_purchase_02	Y:\Dropbox\DADIU\Bugsplat\BugSplat_WwiseProject\.cache\Windows\SFX\shop_purchase_02_8EDF57DD.wem		\Actor-Mixer Hierarchy\Shop\shop_interactions_mastermix\shop_purchase_sting\shop_purchase_sting\shop_purchase_02		54761
	420773879	ambsource_drip_02	Y:\Dropbox\DADIU\Bugsplat\BugSplat_WwiseProject\.cache\Windows\SFX\ambsource_drip_02_8EDF57DD.wem		\Actor-Mixer Hierarchy\Ambience\amb_shop_mastermix\amb_shop_source_drip\ambsource_drip_02		10057
	477738590	shop_inspect_plate_01	Y:\Dropbox\DADIU\Bugsplat\BugSplat_WwiseProject\.cache\Windows\SFX\shop_inspect_plate_01_8EDF57DD.wem		\Actor-Mixer Hierarchy\Shop\shop_interactions_mastermix\shop_inspectPlate\shop_inspectPlate\shop_inspect_plate_01		5705
	506912683	shop_inspect_plate_02	Y:\Dropbox\DADIU\Bugsplat\BugSplat_WwiseProject\.cache\Windows\SFX\shop_inspect_plate_02_8EDF57DD.wem		\Actor-Mixer Hierarchy\Shop\shop_interactions_mastermix\shop_inspectPlate\shop_inspectPlate\shop_inspect_plate_02		7801
	569537801	shop_putDownPlate_04	Y:\Dropbox\DADIU\Bugsplat\BugSplat_WwiseProject\.cache\Windows\SFX\shop_putDownPlate_04_8EDF57DD.wem		\Actor-Mixer Hierarchy\Shop\shop_interactions_mastermix\shop_putDownPlate\shop_putDownPlate\shop_putDownPlate_04		4588
	600179770	ambsource_drip_06	Y:\Dropbox\DADIU\Bugsplat\BugSplat_WwiseProject\.cache\Windows\SFX\ambsource_drip_06_8EDF57DD.wem		\Actor-Mixer Hierarchy\Ambience\amb_shop_mastermix\amb_shop_source_drip\ambsource_drip_06		11151
	654805538	ambsource_drip_01	Y:\Dropbox\DADIU\Bugsplat\BugSplat_WwiseProject\.cache\Windows\SFX\ambsource_drip_01_8EDF57DD.wem		\Actor-Mixer Hierarchy\Ambience\amb_shop_mastermix\amb_shop_source_drip\ambsource_drip_01		10510
	672876930	ambsource_drip_07	Y:\Dropbox\DADIU\Bugsplat\BugSplat_WwiseProject\.cache\Windows\SFX\ambsource_drip_07_8EDF57DD.wem		\Actor-Mixer Hierarchy\Ambience\amb_shop_mastermix\amb_shop_source_drip\ambsource_drip_07		10516
	728931627	ambsource_drip_03	Y:\Dropbox\DADIU\Bugsplat\BugSplat_WwiseProject\.cache\Windows\SFX\ambsource_drip_03_8EDF57DD.wem		\Actor-Mixer Hierarchy\Ambience\amb_shop_mastermix\amb_shop_source_drip\ambsource_drip_03		10687
	742953182	ambsource_drip_04	Y:\Dropbox\DADIU\Bugsplat\BugSplat_WwiseProject\.cache\Windows\SFX\ambsource_drip_04_8EDF57DD.wem		\Actor-Mixer Hierarchy\Ambience\amb_shop_mastermix\amb_shop_source_drip\ambsource_drip_04		10523
	752146179	ambsource_drip_08	Y:\Dropbox\DADIU\Bugsplat\BugSplat_WwiseProject\.cache\Windows\SFX\ambsource_drip_08_8EDF57DD.wem		\Actor-Mixer Hierarchy\Ambience\amb_shop_mastermix\amb_shop_source_drip\ambsource_drip_08		9910
